1	0019	0342	-2.6	0637	0920	+1.6	1241	1606	-2.6	1905	2148	+1.6	 	 	 
2	0111	0433	-2.5	0729	1012	+1.6	1333	1658	-2.5	1959	2242	+1.6	 	 	 
3	0205	0525	-2.4	0823	1106	+1.5	1429	1753	-2.4	2057	2339	+1.5	 	 	 
4	0302	0621	-2.3	0921	1206	+1.4	1528	1851	-2.3	2158	 	 	 	 	 
5	 	0042	+1.4	0403	0721	-2.1	1023	1311	+1.4	1631	1957	-2.1	2303	 	 
6	 	0151	+1.3	0506	0830	-2.0	1128	1422	+1.3	1735	2111	-2.0	 	 	 
7	0007	0301	+1.3	0609	0947	-2.0	1232	1530	+1.3	1837	2227	-2.0	 
8	0108	0404	+1.3	0708	1057	-2.0	1331	1630	+1.4	1935	2330	-2.1	 	 	 
9	0203	0458	+1.3	0801	1152	-2.1	1423	1721	+1.4	2026	 	 	 	 	 
10	 	0018	-2.1	0252	0545	+1.4	0848	1235	-2.1	1510	1805	+1.4	2112	 	 
11	 	0057	-2.2	0335	0626	+1.4	0931	1310	-2.2	1552	1844	+1.5	2154	 	 
12	 	0130	-2.2	0415	0702	+1.4	1011	1342	-2.3	1631	1920	+1.5	2233	 	 
13	 	0201	-2.3	0452	0736	+1.5	1049	1414	-2.3	1709	1954	+1.5	2311	 	 
14	 	0233	-2.3	0528	0810	+1.5	1126	1447	-2.4	1745	2028	+1.5	2349	 	 
15	 	0307	-2.4	0603	0843	+1.5	1203	1523	-2.4	1821	2103	+1.5	 	 	 
16	0027	0342	-2.3	0638	0918	+1.4	1241	1600	-2.4	1857	2139	+1.4	 	 	 
17	0105	0420	-2.2	0713	0955	+1.4	1319	1639	-2.3	1934	2218	+1.4	 	 	 
18	0145	0501	-2.2	0750	1035	+1.4	1400	1722	-2.2	2014	2300	+1.4	 	 	 
19	0228	0544	-2.1	0830	1119	+1.3	1445	1807	-2.2	2100	2347	+1.3	 	 	 
20	0316	0632	-2.1	0916	1209	+1.3	1536	1858	-2.1	2152	 	 	 	 	 
21	 	0039	+1.2	0409	0724	-2.0	1011	1304	+1.2	1634	1954	-2.1	2252	 	 
22	 	0138	+1.2	0508	0822	-2.0	1115	1405	+1.3	1735	2054	-2.1	2356	 	 
23	 	0240	+1.3	0608	0923	-2.1	1221	1509	+1.3	1837	2156	-2.2	 	 	 
24	0059	0342	+1.4	0707	1025	-2.2	1324	1611	+1.4	1937	2257	-2.3	 	 	 
25	0158	0441	+1.4	0803	1125	-2.4	1423	1709	+1.5	2033	2355	-2.4	 	 	 
26	0253	0537	+1.6	0857	1221	-2.5	1518	1804	+1.6	2126	 	 	 	 	 
27	 	0050	-2.5	0345	0629	+1.6	0949	1315	-2.6	1612	1857	+1.7	2218	 	 
28	 	0142	-2.6	0436	0720	+1.7	1039	1407	-2.6	1703	1948	+1.7	2309	 	 
29	 	0233	-2.6	0526	0810	+1.7	1130	1458	-2.6	1755	2039	+1.7	 	 	 
30	0000	0323	-2.5	0616	0900	+1.7	1221	1548	-2.6	1847	2130	+1.6	 	 	 
